,osm_address,district
3796,"Москва, Новочеркасский бульвар, 57",Марьинский парк
3797,"Москва, улица Академика Скрябина, 12А",Выхино
3798,"Москва, Донецкая улица, 28",район Марьино
3799,"Москва, Люблинская улица, 100",Марьинский парк
3800,"Москва, улица Перерва, 43",район Люблино
3801,"Москва, Зеленодольская улица, 43А",район Кузьминки
3802,"Москва, 4-й Вешняковский проезд, 4",Рязанский район
3803,"Москва, Зарайская улица, 33",Рязанский район
3805,"Москва, Рязанский проспект, 103А",Рязанский район
3806,"Москва, Угрешская улица, 31",район Печатники
3807,"Москва, 4-я Кабельная улица, 2А",район Лефортово
3808,"Москва, улица Капотня, 34",район Капотня
3809,"Москва, улица Маршала Полубоярова, 1",район Выхино-Жулебино
3810,"Москва, Нижегородская улица, 50",Нижегородский район
3811,"Москва, Люблинская улица, 153",Марьинский парк
3812,"Москва, 1-й Грайвороновский проезд, 20А",район Текстильщики
3813,"Москва, Волгоградский проспект, 42",район Печатники
3814,"Москва, Люблинская улица, 151",Марьинский парк
3815,"Москва, Рязанский проспект, 12",Рязанский район
3816,"Москва, Рязанский проспект, 99А",Выхино
3817,"Москва, Краснодарская улица, 58Г",район Люблино
3818,"Москва, Сормовский проезд, 11",Выхино
3819,"Москва, Авиамоторная улица, 41Б",район Лефортово
3820,"Москва, Краснодарская улица, 66",район Люблино
3821,"Москва, Привольная улица, 63",район Выхино-Жулебино
3825,"Москва, Люблинская улица, 4А",район Текстильщики
3826,"Москва, Шарикоподшипниковская улица, 14",Южнопортовый район
3828,"Москва, Шоссейная улица, 2Б",район Печатники
3829,"Москва, Зеленодольская улица, 30",район Кузьминки
3830,"Москва, 2-й Кабельный проезд, 1",район Лефортово
3831,"Москва, Привольная улица, 70",район Выхино-Жулебино
3832,"Москва, Авиамоторная улица, 55",район Лефортово
3833,"Москва, Велозаводская улица, 5",Даниловский район
3834,"Москва, шоссе Энтузиастов, 4",Андроново
3836,"Москва, Донецкая улица, 35",район Марьино
3837,"Москва, Авиамоторная улица, 12",район Лефортово
3838,"Москва, Белореченская улица, 40",район Марьино
3839,"Москва, Братиславская улица, 6",Марьинский парк
3841,"Москва, 2-й Капотня, 37",район Капотня
3842,"Москва, Тарханская улица, 2",район Выхино-Жулебино
3843,"Москва, Люблинская улица, 169",Марьинский парк
3844,"Москва, 1-я Новокузьминская улица, 19",Рязанский район
3845,"Москва, Поречная улица, 10",Марьинский парк
3848,"Москва, проезд Завода Серп и Молот, 10",район Лефортово
3849,"Москва, шоссе Энтузиастов, 12",район Лефортово
3850,"Москва, Грайвороновская улица, 12",район Текстильщики
3851,"Москва, Привольная улица, 59",район Выхино-Жулебино
3852,"Москва, Шоссейная улица, 2",район Печатники
3854,"Москва, 8-я улица Текстильщиков, 5",район Текстильщики
3855,"Москва, Ташкентская улица, 21",Выхино
3856,"Москва, Волгоградский проспект, 117",район Кузьминки
3857,"Москва, Люблинская улица, 92",Марьинский парк
3858,"Москва, Волгоградский проспект, 133",район Кузьминки
3859,"Москва, Волгоградский проспект, 166",район Выхино-Жулебино
3861,"Москва, Краснодарская улица, 72",район Люблино
3862,"Москва, Зеленодольская улица, 3",Рязанский район
3863,"Москва, 7-я Кожуховская улица, 9",Кожухово
3864,"Москва, Покровская улица, 26",Володарского
3865,"Москва, улица Намёткина, 13А",район Черёмушки
3866,"город Москва, 38-й километр МКАД",район Ясенево
3867,"Москва, Соловьиный проезд, 16",район Ясенево
3868,"Москва, Голубинская улица, 5",район Ясенево
3869,"Москва, улица Кедрова, 7А",Академический район
3870,"Москва, улица Академика Варги, 8",район Тёплый Стан
3871,"Москва, улица Бутлерова, 17",район Коньково
3872,"Москва, Нахимовский проспект, 32",Академический район
3875,"Москва, улица Вавилова, 69/75",Гагаринский район
3877,"Москва, Голубинская улица, 23",район Ясенево
3878,"Москва, улица Обручева, 27",Обручевский район
3879,"Москва, улица Кржижановского, 22",Академический район
3880,"Москва, улица Миклухо-Маклая, 42Б",район Коньково
3881,"Москва, Голубинская улица, 21",район Ясенево
3883,"Москва, улица Кравченко, 12А",Ломоносовский район
3884,"Москва, улица Миклухо-Маклая, 8",Обручевский район
3885,"Москва, улица Миклухо-Маклая, 21А",Обручевский район
3886,"Москва, улица Новаторов, 3",Обручевский район
3888,"Москва, Симферопольский бульвар, 12",район Зюзино
3890,"Москва, Вильнюсская улица, 12",район Ясенево
3892,"Москва, Ленинский проспект, 111/2",Обручевский район
3893,"Москва, улица Шверника, 4",Академический район
3894,"Москва, улица Академика Бакулева, 3",район Тёплый Стан
3895,"Москва, Нахимовский проспект, 45",район Черёмушки
3896,"Москва, Профсоюзная улица, 74",Обручевский район
3897,"Москва, Малая Юшуньская улица, 1",район Зюзино
3898,"Москва, Профсоюзная улица, 126",район Тёплый Стан
3899,"Москва, улица Кржижановского, 30",Академический район
3900,"Москва, улица Миклухо-Маклая, 6",Обручевский район
3901,"Москва, Ленинский проспект, 32А",Гагаринский район
3902,"Москва, улица Гарибальди, 1А",Ломоносовский район
3903,"Москва, Литовский бульвар, 17",район Ясенево
3904,"Москва, Профсоюзная улица, 62",Обручевский район
3906,"Москва, улица Миклухо-Маклая, 32А",район Коньково
3907,"Москва, улица Академика Пилюгина, 3",Ломоносовский район
3908,"Москва, Севастопольский проспект, 8",район Котловка
3909,"Москва, Профсоюзная улица, 56",Обручевский район
3910,"Москва, Профсоюзная улица, 61А",район Черёмушки
3911,"город Москва, 42-й километр МКАД",район Тёплый Стан
3912,"Москва, улица Обручева, 13",Обручевский район
3913,"Москва, Нахимовский проспект, 11",район Зюзино
3914,"Москва, Большая Черёмушкинская улица, 1",район Котловка
3915,"Москва, Профсоюзная улица, 102",район Коньково
3916,"Москва, улица Обручева, 23",Обручевский район
3917,"Москва, Севастопольский проспект, 11Е",район Черёмушки
3918,"Москва, улица Вавилова, 47А",Академический район
3919,"Москва, улица Вавилова, 24",Гагаринский район
3920,"Москва, улица Миклухо-Маклая, 11Б",Обручевский район
3921,"Москва, Новоясеневский проспект, 11",район Ясенево
3922,"Москва, улица Миклухо-Маклая, 10",Обручевский район
3923,"Москва, улица Тёплый Стан, 27",район Тёплый Стан
3924,"Москва, Севастопольский проспект, 28",район Черёмушки
3925,"Москва, Профсоюзная улица, 45А",район Черёмушки
3926,"Москва, Новоясеневский проспект, 1",район Ясенево
3927,"Москва, Новоясеневский проспект, 46",район Тёплый Стан
3929,"Москва, Профсоюзная улица, 129А",район Ясенево
3930,"Москва, проспект 60-летия Октября, 10",Академический район
3931,"Москва, Азовская улица, 24",район Зюзино
3932,"Москва, Научный проезд, 19",район Черёмушки
3933,"Москва, улица Миклухо-Маклая, 47А",район Коньково
3934,"Москва, Нахимовский проспект, 24",район Котловка
3935,"Москва, улица Академика Варги, 15",район Тёплый Стан
3936,"Москва, улица Миклухо-Маклая, 28Б",район Коньково
3937,"Москва, Профсоюзная улица, 21А",район Черёмушки
3938,"Москва, улица Дмитрия Ульянова, 5А",Гагаринский район
3939,"Москва, улица Миклухо-Маклая, 36А",район Коньково
3940,"Москва, Ленинский проспект, 109",Обручевский район
3941,"Москва, улица Паустовского, 6А",район Ясенево
3942,"Москва, Профсоюзная улица, 25А",район Черёмушки
3943,"Москва, Профсоюзная улица, 118",район Коньково
3944,"Москва, Одесская улица, 2",район Зюзино
3945,"Москва, Новоясеневский проспект, 7",район Ясенево
3947,"Москва, бульвар Адмирала Ушакова, 12",Гавриково
3948,"Москва, Ратная улица, 10А",район Северное Бутово
3949,"Москва, улица Грина, 5А",район Северное Бутово
3950,"Москва, Старобитцевская улица, 2",район Северное Бутово
3951,"Москва, Скобелевская улица, 23",Бутово
3952,"Москва, бульвар Адмирала Ушакова, 7",Гавриково
3953,"Москва, Старокачаловская улица, 5",район Северное Бутово
3954,"Москва, улица Грина, 18",район Северное Бутово
3955,"Москва, улица Поляны, 2",район Северное Бутово
3956,"Москва, улица Поляны, 6",район Северное Бутово
3957,"Москва, улица Адмирала Лазарева, 24",Гавриково
3958,"Москва, Венёвская улица, 4",Гавриково
3959,"Москва, Новобутовский проезд, 9",Гавриково
3960,"Москва, Куликовская улица, 9",район Северное Бутово
3961,"Москва, Бартеневская улица, 39",Чернево
3962,"Москва, Чечёрский проезд, 52",Щиброво
3963,"Москва, Южнобутовская улица, 74",Чернево
3964,"Москва, улица Поляны, 8",район Северное Бутово
3965,"Москва, бульвар Дмитрия Донского, 1",район Северное Бутово
3966,"Москва, Варшавское шоссе, 206",Бутово
3967,"Москва, Чечёрский проезд, 64",Щиброво
3968,"Москва, улица Горчакова, 11",Гавриково
3969,"Москва, Венёвская улица, 6",Гавриково
3970,"Москва, Старокачаловская улица, 5А",район Северное Бутово
3971,"Москва, Бартеневская улица, 12",Гавриково
3972,"Москва, Литовский бульвар, 6",район Ясенево
3973,"Москва, Космодамианская набережная, 52",Садовники
3974,"Москва, Летниковская улица, 4",Даниловский район
3975,"Москва, Нахимовский проспект, 36",Академический район
3976,"Москва, Большая Серпуховская улица, 12/11",район Замоскворечье
3977,"Москва, Синельниковская улица, 47",Бутово
3978,"Москва, Большая Серпуховская улица, 29",район Замоскворечье
3979,"Москва, Летниковская улица, 18",Даниловский район
3981,"Москва, улица Бахрушина, 24",Садовники
3982,"Москва, Якиманская набережная, 4",Берсеневка
3984,"Москва, улица Обручева, 30/1",район Коньково
3985,"Москва, Пятницкий переулок, 4",Садовники
3986,"Москва, улица Академика Опарина, 4",район Коньково
3987,"Москва, улица Большая Ордынка, 21",Берсеневка
3988,"Москва, улица Академика Виноградова, 4Б",район Тёплый Стан
3989,"Москва, Старокалужское шоссе, 64",Обручевский район
3990,"Москва, улица Балчуг, 3/2",Берсеневка
3991,"Москва, улица Щипок, 22",район Замоскворечье
3992,"Москва, Профсоюзная улица, 78",Обручевский район
3993,"Москва, улица Дмитрия Ульянова, 35",Академический район
3994,"Москва, Новоясеневский проспект, 4",район Ясенево
3995,"Москва, Профсоюзная улица, 64",Обручевский район
3996,"Москва, улица Кржижановского, 17",Академический район
3997,"Москва, Старокалужское шоссе, 62",Обручевский район
3998,"Москва, улица Обручева, 28А",Обручевский район
3999,"Москва, Павелецкая площадь, 2",район Замоскворечье
4003,"Москва, Литовский бульвар, 10",район Ясенево
4004,"Москва, Голубинская улица, 28",район Ясенево
4005,"Москва, Литовский бульвар, 11",район Ясенево
4006,"Москва, Литовский бульвар, 44",район Ясенево
4007,"Москва, Новоясеневский проспект, 24",район Ясенево
4009,"Москва, улица Паустовского, 6",район Ясенево
4010,"Москва, улица Паустовского, 5",район Ясенево
4012,"Москва, Соловьиный проезд, 4",район Ясенево
4014,"Москва, Лаврушинский переулок, 10",Берсеневка
4015,"Москва, Садовническая набережная, 79",Садовники
4017,"Москва, Берсеневская набережная, 6",Берсеневка
4018,"Москва, Берсеневская набережная, 8",Берсеневка
4019,"Москва, Болотная набережная, 5",Берсеневка
4020,"Москва, Берсеневский переулок, 5",Берсеневка
4021,"Москва, Болотная набережная, 9",Берсеневка
4022,"Москва, Малая Очаковская улица, 8",Очаково
4023,"Москва, Рябиновая улица, 24",Троекурово
4024,"Москва, Гагаринский переулок, 15А",район Хамовники
4025,"Москва, Рябиновая улица, 47",поселение Марушкинское
4026,"Москва, улица Плющиха, 58",район Хамовники
4027,"Москва, проспект Вернадского, 121",Тропарёво
4028,"Москва, проезд Стройкомбината, 4",Очаково
4030,"Москва, Малая Очаковская улица, 4",Очаково
4031,"Москва, Трубецкая улица, 8",район Хамовники
4032,"Москва, улица Волхонка, 15-17",район Хамовники
4033,"Москва, улица Удальцова, 40А",район Проспект Вернадского
4034,"Москва, улица Удальцова, 42",район Проспект Вернадского
4035,"Москва, Манежная площадь, 1",Тверской район
4036,"Москва, улица Удальцова, 40",район Проспект Вернадского
4037,"Москва, улица Пречистенка, 19/11",район Хамовники
4038,"Москва, улица Льва Толстого, 23",Плющиха
4039,"Москва, улица Покрышкина, 2",Тропарёво
4040,"Москва, проезд Стройкомбината, 1",Очаково
4041,"Москва, Усачёва улица, 35",район Хамовники
4042,"Москва, улица Пречистенка, 4",район Хамовники
4043,"Москва, Рябиновая улица, 55А",Троекурово
4044,"Москва, Мосфильмовская улица, 1",район Раменки
4045,"Москва, Озёрная улица, 46",Очаково
4046,"Москва, Большая Внуковская улица, 2А",район Внуково
4047,"Москва, улица Академика Анохина, 20",Тропарёво
4048,"Москва, Боровское шоссе, 50",район Ново-Переделкино
4049,"Москва, улица 26-ти Бакинских Комиссаров, 2А",Тропарёво
4050,"Москва, площадь Джавахарлала Неру, 1",район Раменки
4051,"Москва, Озёрная улица, 42",Очаково
4052,"Москва, 1-я Рейсовая улица, 4-А",район Внуково
4053,"Москва, проспект Вернадского, 88",Тропарёво
4054,"Москва, Озёрная улица, 44",район Очаково-Матвеевское
4055,"Москва, Боровское шоссе, 36-А",район Солнцево
4056,"Москва, Боровское шоссе, 1",поселение Марушкинское
4057,"Москва, улица Лобачевского, 92",район Проспект Вернадского
4058,"Москва, Матвеевская улица, 9",Матвеевское
4059,"Москва, улица 50 лет Октября, 2Б",район Солнцево
4060,"Москва, проспект Вернадского, 14А",район Проспект Вернадского
4061,"Москва, улица Улофа Пальме, 5",район Раменки
4062,"Москва, Никулинская улица, 3-А",Очаково
4063,"Москва, улица Академика Анохина, 46",Тропарёво
4064,"Москва, Рябиновая улица, 44",Очаково
4065,"Москва, улица Лобачевского, 130Б",район Раменки
4066,"Москва, проспект Вернадского, 86Д",Тропарёво
4067,"Москва, проспект Вернадского, 76А",район Проспект Вернадского
4069,"Москва, улица Удальцова, 75А",район Проспект Вернадского
4070,"Москва, Ленинский проспект, 146",Тропарёво
4071,"Москва, проспект Вернадского, 6",район Раменки
4072,"Москва, Большая Очаковская улица, 42",Очаково
4073,"Москва, Ломоносовский проспект, 27",район Раменки
4074,"Москва, Мосфильмовская улица, 72А",район Раменки
4075,"Москва, Минская улица, 2Г",район Дорогомилово
4076,"Москва, Мичуринский проспект, 21А",район Раменки
4077,"Москва, Воробьёвское шоссе, 2Б",район Раменки
4078,"Москва, Матвеевская улица, 2",Матвеевское
4079,"Москва, проспект Вернадского, 86Б",Тропарёво
4080,"Москва, улица Академика Анохина, 11А",Тропарёво
4081,"Москва, улица Удальцова, 1А",район Проспект Вернадского
4082,"Москва, Нежинская улица, 13",район Очаково-Матвеевское
4084,"Москва, территория Ленинские Горы, 1",район Раменки
4085,"Москва, улица Покрышкина, 7",Олимпийская деревня
4086,"Москва, улица Покрышкина, 4",Тропарёво
4087,"Москва, Мичуринский проспект, 31",район Раменки
4088,"Москва, Озёрная улица, 52",район Очаково-Матвеевское
4089,"Москва, Мичуринский проспект, 58",район Раменки
4090,"Москва, Большая Дорогомиловская улица, 8А",район Дорогомилово
4091,"Москва, улица Новый Арбат, 7А",район Арбат
4092,"Москва, улица Арбат, 52",район Арбат
4093,"Москва, Бережковская набережная, 16",район Дорогомилово
4094,"Москва, Кутузовский проспект, 36",район Дорогомилово
4095,"Москва, Ельнинская улица, 23",район Кунцево
4096,"Москва, Староваганьковский переулок, 19",район Арбат
4097,"Москва, Аминьевское шоссе, 26Б",район Фили-Давыдково
4098,"Москва, улица Барклая, 6",Фили
4100,"Москва, улица Арбат, 44",район Арбат
4101,"Москва, Кутузовский проспект, 12",район Дорогомилово
4102,"Москва, Малая Филёвская улица, 13",район Фили-Давыдково
4103,"Москва, улица Горбунова, 2",Можайский район
4104,"Москва, Оршанская улица, 3",район Кунцево
4105,"Москва, Минская улица, 16А",район Филёвский Парк
4106,"Москва, улица Говорова, 18",Можайский район
4107,"Москва, Бережковская набережная, 20В",район Дорогомилово
4108,"Москва, улица Крылатские Холмы, 38",район Крылатское
4109,"Москва, Новозаводская улица, 22",район Филёвский Парк
4110,"Москва, Можайское шоссе, 43",Можайский район
4111,"Москва, Дорогобужская улица, 14",Можайский район
4112,"Москва, Смоленская площадь, 3",район Арбат
4113,"Москва, Минская улица, 14-А",Кокошкино
4114,"Москва, Бережковская набережная, 24",район Дорогомилово
4115,"Москва, Ярцевская улица, 25",район Кунцево
4116,"Москва, улица Барклая, 9/2",Фили
4117,"Москва, Большая Дорогомиловская улица, 12-А",район Дорогомилово
4118,"Москва, улица Неверовского, 13",район Дорогомилово
4119,"Москва, улица Ивана Франко, 33-Г",район Кунцево
4120,"Москва, Рублёвское шоссе, 20",район Крылатское
4121,"Москва, Большая Филёвская улица, 20",Фили
4122,"Москва, Можайское шоссе, 34-А",Можайский район
4123,"Москва, улица Неверовского, 15",район Дорогомилово
4124,"Москва, Рублёвское шоссе, 52-А",район Кунцево
4125,"Москва, Аминьевское шоссе, 31",Можайский район
4126,"Москва, Славянский бульвар, 5",район Фили-Давыдково
4127,"Москва, улица Клочкова, 10",район Фили-Давыдково
4128,"Москва, Рублёвское шоссе, 10",район Крылатское
4129,"город Москва, 56-й километр МКАД",Можайский район
4130,"Москва, Молодогвардейская улица, 65",район Кунцево
4131,"Москва, Новозаводская улица, 18",район Филёвский Парк
4132,"Москва, Рублёвское шоссе, 42",район Крылатское
4133,"Москва, Кутузовский проспект, 34",район Дорогомилово
4134,"Москва, Верейская улица, 9",Можайский район
4136,"Москва, Островная улица, 2",район Крылатское
4137,"Москва, Осенняя улица, 17",район Крылатское
4138,"Москва, Ярцевская улица, 25А",район Кунцево
4140,"Москва, площадь Европы, 1А",район Дорогомилово
4141,"Москва, Крылатская улица, 17",район Крылатское
4142,"Москва, Рублёвское шоссе, 62",район Крылатское
4143,"Москва, Островная улица, 7",район Крылатское
4144,"Москва, Осенняя улица, 11",район Крылатское
4145,"Москва, Бобруйская улица, 17",район Кунцево
4146,"Москва, улица Барклая, 10А",Фили
4147,"Москва, площадь Киевского Вокзала, 2",район Дорогомилово
4148,"Москва, Рублёвское шоссе, 74",район Крылатское
4149,"Москва, улица Толбухина, 7",Можайский район
4150,"Москва, Кутузовский проспект, 48",район Фили-Давыдково
4151,"Москва, Киевская улица, 7",район Дорогомилово
4152,"Москва, Осенний бульвар, 12",район Крылатское
4153,"Москва, Багратионовский проезд, 5",Фили
4154,"Москва, Беловежская улица, 4",Можайский район
4155,"Москва, Минская улица, 11",район Фили-Давыдково
4156,"Москва, Волоцкой переулок, 15",район Митино
4159,"Москва, улица Исаковского, 6",район Строгино
4160,"Москва, улица Маршала Бирюзова, 1",район Щукино
4161,"Москва, улица Свободы, 35",район Южное Тушино
4162,"Москва, Новопоселковая улица, 6",район Южное Тушино
4163,"Москва, Волоколамское шоссе, 67",Тушино
4164,"Москва, улица Барышиха, 44",район Митино
4165,"Москва, Лодочная улица, 10",район Южное Тушино
4166,"Москва, 3-й Силикатный проезд, 9",район Хорошёво-Мнёвники
4167,"Москва, Митинская улица, 45",район Митино
4171,"Москва, улица Фабрициуса, 21",район Южное Тушино
4172,"Москва, Пятницкое шоссе, 16",район Митино
4173,"Москва, Волоколамское шоссе, 79",район Покровское-Стрешнево
4174,"Москва, проспект Маршала Жукова, 31",район Хорошёво-Мнёвники
4175,"Москва, улица Василия Петушкова, 8",район Южное Тушино
4176,"Москва, Пятницкое шоссе, 17",район Митино
4177,"Москва, Волоколамское шоссе, 139",район Щукино
4178,"Москва, улица Нижние Мнёвники, 41",район Хорошёво-Мнёвники
4179,"Москва, улица Кулакова, 20",район Строгино
4181,"Москва, Митинская улица, 51",район Митино
4182,"Москва, улица Маршала Катукова, 23",район Строгино
4184,"Москва, улица Маршала Катукова, 19",район Строгино
4185,"Москва, улица Исаковского, 37",район Строгино
4186,"Москва, Строгинский бульвар, 9",район Строгино
4187,"Москва, Митинская улица, 40",район Митино
4188,"Москва, Строгинский бульвар, 21",район Строгино
4191,"Москва, Пятницкое шоссе, 27",район Митино
4192,"Москва, улица Рогова, 5А",Октябрьское поле
4193,"Москва, улица Василия Петушкова, 3",район Южное Тушино
4194,"город Москва, 74-й километр МКАД",район Куркино
4195,"город Москва, 65-й километр МКАД",район Строгино
4196,"Москва, Лодочная улица, 27",район Южное Тушино
4197,"город Москва, 67-й километр МКАД",район Строгино
4198,"Москва, улица Саляма Адиля, 9",Нижние Мнёвники
4199,"Москва, Пятницкое шоссе, 29",район Митино
4200,"Москва, улица Шеногина, 2",район Хорошёво-Мнёвники
4201,"Москва, улица Барышиха, 21",район Митино
4202,"Москва, 1-й Митинский переулок, 12",район Митино
4203,"Москва, улица Народного Ополчения, 50",район Щукино
4204,"Москва, Пятницкое шоссе, 2",район Митино
4206,"Москва, Пятницкое шоссе, 39",район Митино
4207,"Москва, Пятницкое шоссе, 20",район Митино
4208,"Москва, Пятницкое шоссе, 3",район Митино
4209,"Москва, Походный проезд, 3",район Южное Тушино
4210,"город Москва, 73-й километр МКАД",район Северное Тушино
4211,"Москва, Митинская улица, 36",район Митино
4212,"Москва, Воротынская улица, 6",район Куркино
4213,"Москва, улица Маршала Бирюзова, 32",Октябрьское поле
4214,"Москва, 1-й Митинский переулок, 25",район Митино
4215,"Москва, Дубравная улица, 34/29",район Митино
4216,"Москва, Вишнёвая улица, 9",поселение Марушкинское
4217,"Москва, улица Зенитчиков, 7",район Митино
4218,"Москва, Походный проезд, 4",район Южное Тушино
4219,"Москва, улица Маршала Прошлякова, 14",район Строгино
4220,"Москва, Таманская улица, 46",Серебряный Бор
4221,"Москва, улица Твардовского, 8",район Строгино
4222,"Москва, Юровская улица, 105",Машкино
4223,"Москва, Новокуркинское шоссе, 25",Машкино
4224,"Москва, 3-я Хорошёвская улица, 21",район Хорошёво-Мнёвники
4225,"Москва, Щукинская улица, 42",район Щукино
4226,"Москва, улица Народного Ополчения, 38",Октябрьское поле
4227,"Москва, Тушинская улица, 17",Тушино
4229,"Москва, Волоколамское шоссе, 124",район Покровское-Стрешнево
4230,"Москва, Пятницкое шоссе, 18",район Митино
4231,"Москва, Походный проезд, 14",район Южное Тушино
4232,"Москва, Сосновая аллея, 1",Тушино
4233,"Москва, улица Маршала Катукова, 22",район Строгино
4234,"Москва, Строгинский бульвар, 1",район Строгино
4235,"Москва, Неманский проезд, 1",район Строгино
4236,"Москва, площадь Академика Курчатова, 1",Октябрьское поле
4237,"Москва, Планерная улица, 7",Алёшкино
4238,"Москва, Пятницкое шоссе, 12",район Митино
4239,"Москва, Новокуркинское шоссе, 1",район Куркино
4240,"Москва, Сходненская улица, 56",район Южное Тушино
4241,"Москва, Волоколамское шоссе, 142",район Митино
4242,"Москва, улица Барышиха, 35",район Митино
4243,"Москва, Щукинская улица, 6",район Щукино
4244,"Москва, улица Маршала Рыбалко, 2",Октябрьское поле
4245,"Москва, Красноармейская улица, 11",район Аэропорт
4246,"Москва, 1-я Тверская-Ямская улица, 16/23",Сущёво
4247,"Москва, 2-я Тверская-Ямская улица, 10",Сущёво
4248,"Москва, Краснопролетарская улица, 16",Сущёво
4249,"Москва, Малый Гнездниковский переулок, 12",Тверской район
4250,"Москва, Ленинградский проспект, 15",район Беговой
4251,"Москва, Смольная улица, 24А",район Левобережный
4252,"Москва, Смольная улица, 24Д",район Левобережный
4253,"Москва, Смольная улица, 12",Головинский район
4254,"Москва, улица Зорге, 9",Ходынское поле
4255,"Москва, Башиловская улица, 34",Савёловский район
4256,"Москва, 1-я Тверская-Ямская улица, 19",Тверской район
4257,"Москва, улица Большая Дмитровка, 23",Тверской район
4258,"Москва, Часовая улица, 30",район Аэропорт
4259,"Москва, 1-я улица Ямского Поля, 17",район Беговой
4260,"Москва, Тверская улица, 26/1",Тверской район
4261,"Москва, Беговая улица, 22",район Беговой
4262,"Москва, Вятская улица, 27",Савёловский район
4263,"Москва, 3-я улица Ямского Поля, 2",район Беговой
4264,"Москва, Бумажный проезд, 19",район Беговой
4265,"Москва, Авангардная улица, 3",Головинский район
4266,"Москва, улица Адмирала Макарова, 6",Войковский район
4267,"Москва, Тверская улица, 24",Тверской район
4268,"Москва, улица Грузинский Вал, 23-25",Пресненский район
4269,"Москва, Театральная площадь, 5",Тверской район
4270,"Москва, Селезнёвская улица, 30",Сущёво
4271,"Москва, Сущёвская улица, 25",Сущёво
4272,"Москва, Сущёвская улица, 27",Сущёво
4273,"Москва, 1-я Брестская улица, 41",Тверской район
4274,"Москва, улица Расковой, 34",район Беговой
4275,"Москва, Ленинградское шоссе, 71Б",район Левобережный
4276,"Москва, 1-я улица Ямского Поля, 15",район Беговой
4277,"Москва, улица Ляпидевского, 14",район Ховрино
4278,"Москва, Ленинградское шоссе, 227",Молжаниновский район
4279,"Москва, Валдайский проезд, 16",район Левобережный
4280,"Москва, Бутырская улица, 77",Савёловский район
4281,"Москва, площадь Ганецкого, 1Б",Войковский район
4282,"Москва, Флотская улица, 17",Головинский район
4283,"Москва, 1-я Магистральная улица, 18",Хорошёвский район
4284,"Москва, Хорошёвское шоссе, 25",Ходынское поле
4285,"Москва, Ленинградское шоссе, 51",Головинский район
4286,"Москва, Вятская улица, 70",Савёловский район
4287,"Москва, Бутырская улица, 75",Савёловский район
4288,"Москва, Кронштадтский бульвар, 14",Головинский район
4289,"Москва, улица Зои и Александра Космодемьянских, 11",Войковский район
4290,"Москва, Скаковая улица, 19",район Беговой
4291,"Москва, Ленинградский проспект, 3",район Беговой
4292,"Москва, улица Викторенко, 7",Хорошёвский район
4293,"Москва, 3-я улица Ямского Поля, 9",район Беговой
4294,"Москва, Фестивальная улица, 2А",район Левобережный
4295,"Москва, Вятская улица, 47",Савёловский район
4296,"Москва, улица Усиевича, 22",район Аэропорт
4297,"Москва, проезд Аэропорта, 8",Ходынское поле
4298,"Москва, 5-я Магистральная улица, 4",Хорошёвский район
4299,"Москва, 5-я Магистральная улица, 12",Хорошёвский район
4300,"Москва, улица Космонавта Волкова, 12",Войковский район
4301,"Москва, 1-й Магистральный тупик, 10",Хорошёвский район
4302,"Москва, Ленинградское шоссе, 63Б",район Левобережный
4303,"Москва, улица Поликарпова, 23Б",район Беговой
4304,"Москва, 1-я Магистральная улица, 23",Хорошёвский район
4305,"Москва, Ленинградское шоссе, 71Г",район Левобережный
4306,"Москва, улица Зорге, 12",Ходынское поле
4307,"Москва, улица Поликарпова, 23А",Хорошёвский район
4308,"Москва, Ленинградский проспект, 76А",район Аэропорт
4309,"Москва, Смольная улица, 63Б",район Левобережный
4310,"Москва, Правобережная улица, 1Б",район Левобережный
4311,"Москва, Ленинградский проспект, 62А",район Аэропорт
4312,"Москва, Ленинградское шоссе, 6",район Сокол
4313,"Москва, Хорошёвское шоссе, 14",Хорошёвский район
4314,"Москва, Ленинградский проспект, 37Б",Ходынское поле
4315,"Москва, Дмитровское шоссе, 108",Дмитровский район
4316,"Москва, Петрозаводская улица, 24Б",район Ховрино
4317,"Москва, Фестивальная улица, 8А",район Ховрино
4318,"Москва, Флотская улица, 5",Головинский район
4319,"Москва, Михалковская улица, 63Б",район Коптево
4320,"Москва, улица Дыбенко, 9А",район Ховрино
4321,"Москва, 4-я улица 8 Марта, 6А",район Аэропорт
4322,"Москва, Волоколамское шоссе, 9А",район Щукино
4323,"Москва, Ходынский бульвар, 7",Ходынское поле
4324,"Москва, Ленинградский проспект, 74А",район Аэропорт
4325,"Москва, Бутырская улица, 9",Савёловский район
4326,"Москва, улица Правды, 26",район Беговой
4327,"Москва, Беговая улица, 6А",район Беговой
4328,"Москва, Фестивальная улица, 17",район Левобережный
4329,"Москва, Петрозаводская улица, 22А",район Ховрино
4330,"Москва, Ленинградское шоссе, 112",район Левобережный
4331,"Москва, Дмитровское шоссе, 108Б",Дмитровский район
4332,"Москва, улица 8 Марта, 6А",Ухтомский
4333,"Москва, улица 800-летия Москвы, 7Б",район Восточное Дегунино
4334,"Москва, Большая Академическая улица, 47",район Коптево
